 134 , 11 , 19 , 10 ,"100003","1A7","219","A7","0 ","0 ","0 ","-30","0 ","1 ","0 ","+ ","0 ","- ","L ","- ","0 ","3001","FWHV"
  -0.12552   0.05080   0.43545  -0.00073  -0.00003  -0.00241   258.96  -4.00   0.00    -2.4709
   0.27239   0.04793   0.46730   0.00031   0.00001  -0.00504   257.46   0.00   0.00     5.6834
   0.45787   0.04988   0.45761   0.00155  -0.00029  -0.00588   257.33   2.00   0.00     9.1796
   0.63063   0.05489   0.44070   0.00276  -0.00051  -0.00632   255.71   4.00   0.00    11.4880
   0.80892   0.06229   0.39995   0.00302  -0.00054  -0.00705   255.34   6.00   0.00    12.9864
   0.98204   0.07293   0.34459   0.00315  -0.00076  -0.00794   254.82   8.00   0.00    13.4663
   1.14316   0.08640   0.28092   0.00286  -0.00065  -0.00748   253.99  10.00   0.00    13.2309
   1.29477   0.09941   0.20819   0.00416  -0.00118  -0.00597   253.20  12.00   0.00    13.0249
   1.36739   0.13345   0.11752  -0.00047   0.00041  -0.01520   253.97  14.00   0.00    10.2465
   1.38620   0.15127   0.07241   0.00413  -0.00229  -0.01413   253.75  15.00  -0.01     9.1636
   1.34568   0.17922   0.03358   0.00226  -0.00102  -0.01281   253.40  16.00   0.03     7.5084
0.26018   1.3823  0.09442  0.04995  0.04799  0.44680  0.00270  0.00011  -2.7555  14.8380  13.4179

